well	X	Y	MD	TVDSS	INCL	AZIM
Well-37	522268.95	3389499.77	0	-21.7	0	0
Well-37	522268.95	3389499.77	77	55.3	0	0
Well-37	522268.95	3389499.77	92.62	70.92	0	0
Well-37	522268.95	3389499.77	110	88.3	2.26E-06	0
Well-37	522269.221	3389500.091	134.1175	112.412	1.223660906	40.2
Well-37	522270.499	3389501.605	167.7203	145.94	3.823677807	40.2
Well-37	522270.796	3389501.957	173.0245	151.22	5.475208039	40.2
Well-37	522272.837	3389504.375	201.4892	179.468	7.074401225	40.2
Well-37	522276.256	3389508.424	235.5243	212.996	9.902882443	40.2
Well-37	522280.787	3389513.791	269.9345	246.524	13.00198952	40.2
Well-37	522286.472	3389520.525	304.8408	280.052	16.15463293	40.2
Well-37	522293.368	3389528.693	340.3763	313.58	19.35085889	40.2
Well-37	522297.795	3389533.937	360.6449	332.39	21.86922361	40.2
Well-37	522301.55	3389538.385	376.6961	347.108	23.51713402	40.2
Well-37	522302.938	3389540.029	382.4018	352.3	24.49917724	40.2
Well-37	522311.115	3389549.715	413.9861	380.636	26.21346348	40.2
Well-37	522315.98	3389555.477	431.4134	395.9623	28.4248717	40.2
Well-37	522321.951	3389562.55	452.2694	414.164	29.22230758	40.2
Well-37	522332.948	3389575.576	490.6858	447.692	29.21993743	40.2
Well-37	522337.704	3389581.209	507.298	462.19	29.22230512	40.2
Well-37	522343.946	3389588.603	529.1022	481.22	29.21813342	40.2
Well-37	522354.944	3389601.63	567.5186	514.748	29.21993743	40.2
Well-37	522365.941	3389614.657	605.935	548.276	29.21993743	40.2
Well-37	522376.939	3389627.683	644.3503	581.804	29.21700413	40.2
Well-37	522387.936	3389640.71	682.7667	615.332	29.21993743	40.2
Well-37	522398.934	3389653.737	721.1831	648.86	29.21993743	40.2
Well-37	522409.932	3389666.763	759.5995	682.388	29.21993743	40.2
Well-37	522420.929	3389679.79	798.0159	715.916	29.21993743	40.2
Well-37	522431.927	3389692.817	836.4312	749.444	29.21700413	40.2
Well-37	522442.924	3389705.844	874.8476	782.972	29.21993743	40.2
Well-37	522453.922	3389718.87	913.264	816.5	29.21993743	40.2
Well-37	522462.726	3389729.299	944.0178	843.34	29.22164912	40.2
Well-37	522464.92	3389731.897	951.6804	850.028	29.21306664	40.2
Well-37	522475.917	3389744.924	990.0968	883.556	29.21993743	40.2
Well-37	522486.915	3389757.951	1028.5132	917.084	29.21993743	40.2
Well-37	522497.912	3389770.977	1066.9285	950.612	29.21700413	40.2
Well-37	522508.91	3389784.004	1105.3449	984.14	29.21993743	40.2
Well-37	522511.58	3389787.167	1114.6718	992.28	29.22085697	40.2
Well-37	522519.908	3389797.031	1143.7613	1017.668	29.21964259	40.2
Well-37	522530.905	3389810.057	1182.1777	1051.196	29.21993743	40.2
Well-37	522541.903	3389823.084	1220.5941	1084.724	29.21993743	40.2
Well-37	522552.901	3389836.111	1259.0105	1118.252	29.21993743	40.2
Well-37	522563.898	3389849.138	1297.4258	1151.78	29.21700413	40.2
Well-37	522574.896	3389862.164	1335.8422	1185.308	29.21993743	40.2
Well-37	522585.893	3389875.191	1374.2586	1218.836	29.21993743	40.2
Well-37	522596.891	3389888.218	1412.675	1252.364	29.21993743	40.2
Well-37	522607.889	3389901.245	1451.0914	1285.892	29.21993743	40.2
Well-37	522609.758	3389903.458	1457.6199	1291.59	29.2156789	40.2
Well-37	522618.886	3389914.271	1489.5078	1319.42	29.22080922	40.2
Well-37	522629.884	3389927.298	1527.9231	1352.948	29.21700413	40.2
Well-37	522640.881	3389940.325	1566.3395	1386.476	29.21993743	40.2
Well-37	522651.879	3389953.352	1604.7559	1420.004	29.21993743	40.2
Well-37	522662.877	3389966.378	1643.1723	1453.532	29.21993743	40.2
Well-37	522673.874	3389979.405	1681.5887	1487.06	29.21993743	40.2
Well-37	522684.872	3389992.432	1720.004	1520.588	29.21700413	40.2
Well-37	522687.802	3389995.902	1730.2384	1529.52	29.2210355	40.2
Well-37	522695.869	3390005.458	1758.4204	1554.116	29.21953865	40.2
Well-37	522706.867	3390018.485	1796.8368	1587.644	29.21993743	40.2
Well-37	522717.865	3390031.512	1835.2532	1621.172	29.21993743	40.2
Well-37	522728.862	3390044.539	1873.6696	1654.7	29.21993743	40.2
Well-37	522739.86	3390057.565	1912.086	1688.228	29.21993743	40.2
Well-37	522750.858	3390070.592	1950.5013	1721.756	29.21700413	40.2
Well-37	522757.439	3390078.388	1973.4913	1741.82	29.22287029	40.2
Well-37	522761.855	3390083.619	1988.9177	1755.284	29.21556607	40.2
Well-37	522772.853	3390096.646	2027.3341	1788.812	29.21993743	40.2
Well-37	522781.18	3390106.51	2056.4236	1814.2	29.21964259	40.2
Well-37	522783.85	3390109.672	2065.7505	1822.34	29.22085697	40.2
Well-37	522792.366	3390119.759	2095.4956	1848.3	29.22034507	40.2
Well-37	522792.979	3390120.485	2097.6384	1850.17	29.22725153	40.2
Well-37	522794.848	3390122.699	2104.1669	1855.868	29.2156789	40.2
Well-37	522798.68	3390127.238	2117.5517	1867.55	29.21655664	40.2
Well-37	522800.953	3390129.93	2125.4926	1874.48	29.22641708	40.2
Well-37	522805.846	3390135.726	2142.5833	1889.396	29.21957403	40.2
Well-37	522816.843	3390148.753	2180.9986	1922.924	29.21700413	40.2
Well-37	522822.963	3390156.001	2202.3749	1941.58	29.22111339	40.2
Well-37	522827.841	3390161.779	2219.415	1956.452	29.21846215	40.2
Well-37	522828.375	3390162.412	2221.2806	1958.08	29.23293384	40.2
Well-37	522830.18	3390164.55	2227.5858	1963.5833	29.21207287	40.2
Well-37	522833.178	3390168.101	2238.0578	1972.7221	29.22735277	40.2
Well-37	522838.838	3390174.806	2257.8314	1989.98	29.21729076	40.2
Well-37	522846.14	3390183.454	2283.3349	2012.2385	29.2187285	40.2
Well-36	522259.31	3389488.28	0	-21.7	0	0
Well-36	522259.31	3389488.28	77	55.3	0	0
Well-36	522259.31	3389488.28	92.62	70.92	0	0
Well-36	522259.31	3389488.28	110	88.3	2.26E-06	0
Well-36	522259.294	3389488.263	115.7101	94.0101	0	222.8
Well-36	522259.191	3389488.152	134.1131	112.412	0.626457803	222.8
Well-36	522259.003	3389487.949	167.6422	145.94	0.464113512	222.8
Well-36	522258.974	3389487.917	172.9222	151.22	5.92E-06	222.8
Well-36	522258.816	3389487.746	201.1713	179.468	0.50563028	222.8
Well-36	522258.628	3389487.544	234.7015	212.996	0.656346651	222.8
Well-36	522258.44	3389487.341	268.2306	246.524	0.464113512	222.8
Well-36	522258.253	3389487.139	301.7597	280.052	0.464113512	222.8
Well-36	522258.065	3389486.936	335.2888	313.58	0.464113512	222.8
Well-36	522257.96	3389486.822	354.0999	332.39	0.619625087	222.8
Well-36	522257.877	3389486.733	368.819	347.108	0.7004805	222.8
Well-36	522257.848	3389486.702	374.011	352.3	0	222.8
Well-36	522257.69	3389486.531	402.3481	380.636	0.504844555	222.8
Well-36	522257.502	3389486.328	435.8772	414.164	0.464113512	222.8
Well-36	522257.315	3389486.126	469.4063	447.692	0.464113512	222.8
Well-36	522257.233	3389486.038	483.9054	462.19	0.705774879	222.8
Well-36	522257.127	3389485.923	502.9365	481.22	0.616033201	222.8
Well-36	522256.939	3389485.72	536.4656	514.748	0.464113512	222.8
Well-36	522256.752	3389485.518	569.9947	548.276	0.464113512	222.8
Well-36	522256.564	3389485.315	603.5238	581.804	0.464113512	222.8
Well-36	522256.376	3389485.113	637.054	615.332	0.656346651	222.8
Well-36	522256.189	3389484.91	670.5831	648.86	0.464113512	222.8
Well-36	522256.001	3389484.708	704.1122	682.388	0.464113512	222.8
Well-36	522255.813	3389484.505	737.6413	715.916	0.464113512	222.8
Well-36	522255.626	3389484.302	771.1715	749.444	0.656346651	222.8
Well-36	522255.438	3389484.1	804.7006	782.972	0.464113512	222.8
Well-36	522255.25	3389483.897	838.2297	816.5	0.464113512	222.8
Well-36	522255.1	3389483.735	865.0708	843.34	0.518722756	222.8
Well-36	522255.063	3389483.695	871.7588	850.028	0	222.8
Well-36	522254.875	3389483.492	905.289	883.556	0.656346651	222.8
Well-36	522254.687	3389483.289	938.8181	917.084	0.464113512	222.8
Well-36	522254.5	3389483.087	972.3472	950.612	0.464113512	222.8
Well-36	522254.312	3389482.884	1005.8763	984.14	0.464113512	222.8
Well-36	522254.267	3389482.835	1014.0174	992.28	0.941883781	222.8
Well-36	522254.124	3389482.682	1039.4065	1017.668	0.533349494	222.8
Well-36	522253.937	3389482.479	1072.9356	1051.196	0.464113512	222.8
Well-36	522253.749	3389482.276	1106.4647	1084.724	0.464113512	222.8
Well-36	522253.561	3389482.074	1139.9938	1118.252	0.464113512	222.8
Well-36	522253.374	3389481.871	1173.524	1151.78	0.656346651	222.8
Well-36	522253.186	3389481.669	1207.0531	1185.308	0.464113512	222.8
Well-36	522252.999	3389481.466	1240.5822	1218.836	0.464113512	222.8
Well-36	522252.811	3389481.264	1274.1113	1252.364	0.464113512	222.8
Well-36	522252.623	3389481.061	1307.6415	1285.892	0.656346651	222.8
Well-36	522252.591	3389481.027	1313.3395	1291.59	0	222.8
Well-36	522252.436	3389480.858	1341.1706	1319.42	0.509413227	222.8
Well-36	522252.248	3389480.656	1374.6997	1352.948	0.464113512	222.8
Well-36	522252.06	3389480.453	1408.2288	1386.476	0.464113512	222.8
Well-36	522251.873	3389480.251	1441.759	1420.004	0.656346651	222.8
Well-36	522251.685	3389480.048	1475.2881	1453.532	0.464113512	222.8
Well-36	522251.497	3389479.845	1508.8172	1487.06	0.464113512	222.8
Well-36	522251.31	3389479.643	1542.3463	1520.588	0.464113512	222.8
Well-36	522251.26	3389479.589	1551.2794	1529.52	0.899160731	222.8
Well-36	522251.122	3389479.44	1575.8765	1554.116	0.541868167	222.8
Well-36	522250.934	3389479.238	1609.4056	1587.644	0.464113512	222.8
Well-36	522250.747	3389479.035	1642.9347	1621.172	0.464113512	222.8
Well-36	522250.559	3389478.832	1676.4638	1654.7	0.464113512	222.8
Well-36	522250.371	3389478.63	1709.994	1688.228	0.656346651	222.8
Well-36	522250.184	3389478.427	1743.5231	1721.756	0.464113512	222.8
Well-36	522250.071	3389478.306	1763.5882	1741.82	0.599950325	222.8
Well-36	522249.996	3389478.225	1777.0522	1755.284	0	222.8
Well-36	522249.808	3389478.022	1810.5813	1788.812	0.464113512	222.8
Well-36	522249.666	3389477.869	1835.9704	1814.2	0.533349494	222.8
Well-36	522249.621	3389477.82	1844.1115	1822.34	0.94188378	222.8
Well-36	522249.476	3389477.663	1870.0726	1848.3	0.527441091	222.8
Well-36	522249.465	3389477.651	1871.9426	1850.17	0	222.8
Well-36	522249.433	3389477.617	1877.6406	1855.868	0	222.8
Well-36	522249.368	3389477.546	1889.3226	1867.55	1.13E-05	222.8
Well-36	522249.329	3389477.504	1896.2526	1874.48	0	222.8
Well-36	522249.246	3389477.414	1911.1697	1889.396	0.695816048	222.8
Well-36	522249.058	3389477.212	1944.6988	1922.924	0.464113512	222.8
Well-36	522248.953	3389477.099	1963.3559	1941.58	0.622177121	222.8
Well-36	522248.87	3389477.009	1978.2136	1956.4377	0	222.8
Well-36	522248.87	3389477.009	1978.229	1956.452	21.7867893	222.8
Well-36	522248.861	3389476.999	1979.857	1958.08	0	222.8
Well-36	522248.683	3389476.807	2011.7581	1989.98	0.475808714	222.8
Well-36	522248.67	3389476.793	2014.0021	1992.224	0	222.8
Well-36	522248.614	3389476.733	2024	2002.2219	0	222.8
Well-36	522248.613	3389476.732	2024.1078	2002.3297	0	222.8
Well-64	522249.67	3389476.79	0	-21.7	0	0
Well-64	522249.67	3389476.79	77	55.3	0	0
Well-64	522249.67	3389476.79	92.62	70.92	0	0
Well-64	522249.67	3389476.79	110	88.3	2.26E-06	0
Well-64	522249.635	3389477.208	134.1175	112.412	1.223660906	355.2
Well-64	522249.468	3389479.183	167.7203	145.94	3.823677807	355.2
Well-64	522249.429	3389479.642	173.0245	151.22	5.475208039	355.2
Well-64	522249.162	3389482.795	201.4892	179.468	7.074401225	355.2
Well-64	522248.716	3389488.076	235.5243	212.996	9.902882443	355.2
Well-64	522248.124	3389495.074	269.9345	246.524	13.00198952	355.2
Well-64	522247.381	3389503.855	304.8408	280.052	16.15463293	355.2
Well-64	522246.48	3389514.508	340.3763	313.58	19.35085889	355.2
Well-64	522245.902	3389521.345	360.6449	332.39	21.86922361	355.2
Well-64	522245.412	3389527.147	376.6961	347.108	23.51713402	355.2
Well-64	522245.23	3389529.291	382.4018	352.3	24.49917724	355.2
Well-64	522244.162	3389541.921	413.9861	380.636	26.21346348	355.2
Well-64	522242.716	3389559.023	452.4707	414.164	29.40095542	355.2
Well-64	522241.051	3389578.709	492.4315	447.692	32.96298566	355.2
Well-64	522240.257	3389588.104	510.2581	462.19	35.58244978	355.2
Well-64	522239.139	3389601.32	534.2392	481.22	37.48227951	355.2
Well-64	522238.162	3389612.876	554.3043	496.7069	39.48125122	355.2
Well-64	522236.986	3389626.781	577.9917	514.748	40.3916488	355.2
Well-64	522234.801	3389652.621	622.0126	548.276	40.39116647	355.2
Well-64	522232.616	3389678.461	666.0335	581.804	40.39116647	355.2
Well-64	522230.431	3389704.302	710.0544	615.332	40.39116647	355.2
